date,gender,city,category,incidence ,count,avg_age,mid_age,crude_rate
1980,不分男女,新北市,口腔、口咽及下咽,3.12,48,51.38,52.5,2.13
1980,不分男女,桃園市,口腔、口咽及下咽,3.68,30,51.47,53,2.85
1980,不分男女,新竹縣,口腔、口咽及下咽,2.47,7,50.43,55,1.94
1980,不分男女,宜蘭縣,口腔、口咽及下咽,1.08,4,50.75,51,0.9
1980,不分男女,苗栗縣,口腔、口咽及下咽,2.71,11,53.09,55,2.03
1980,不分男女,彰化縣,口腔、口咽及下咽,6.52,56,53.36,52,4.8
1980,不分男女,南投縣,口腔、口咽及下咽,2.24,9,54.89,55,1.72
1980,不分男女,雲林縣,口腔、口咽及下咽,5.47,33,56.55,56,4.14
1980,不分男女,嘉義縣,口腔、口咽及下咽,3.5,16,55.75,62.5,2.79
1980,不分男女,屏東縣,口腔、口咽及下咽,1.31,8,48.63,50,0.9
1980,不分男女,花蓮縣,口腔、口咽及下咽,4.23,11,59.91,60,3.1
1980,不分男女,台東縣,口腔、口咽及下咽,7.36,18,57.39,56.5,6.4
1980,不分男女,連江縣,口腔、口咽及下咽,14.37,1,32,32,11.04
1981,不分男女,台閩地區,口腔、口咽及下咽,3.53,469,54.5,54,2.58
1981,不分男女,台北市,口腔、口咽及下咽,3.22,55,55.73,58,2.42
1981,不分男女,台中市,口腔、口咽及下咽,3.6,42,52.57,50.5,2.54
1981,不分男女,台南市,口腔、口咽及下咽,2.28,26,57.54,55,1.66
1981,不分男女,高雄市,口腔、口咽及下咽,3.71,57,51.26,52,2.54
1981,不分男女,基隆市,口腔、口咽及下咽,2.15,6,57.67,60,1.72
1981,不分男女,新竹市,口腔、口咽及下咽,1.33,3,54,53,1.05
1981,不分男女,嘉義市,口腔、口咽及下咽,4.23,9,51.44,52,3.57
1981,不分男女,新北市,口腔、口咽及下咽,2.76,41,54.56,55,1.74
1981,不分男女,桃園市,口腔、口咽及下咽,3.14,23,56.3,54,2.1
1981,不分男女,新竹縣,口腔、口咽及下咽,0.67,2,55.5,55.5,0.55
1981,不分男女,宜蘭縣,口腔、口咽及下咽,1.15,4,58.25,56,0.9
1981,不分男女,苗栗縣,口腔、口咽及下咽,1.5,6,60.17,61,1.1
1981,不分男女,彰化縣,口腔、口咽及下咽,5.22,46,55.22,52,3.9
1981,不分男女,南投縣,口腔、口咽及下咽,2.78,12,54.42,56,2.27
1981,不分男女,雲林縣,口腔、口咽及下咽,4.62,29,54.79,55,3.64
1981,不分男女,嘉義縣,口腔、口咽及下咽,4.98,24,55.13,53.5,4.18
1981,不分男女,屏東縣,口腔、口咽及下咽,2.61,17,54.82,56,1.91
1981,不分男女,澎湖縣,口腔、口咽及下咽,2.16,2,46,46,1.89
1981,不分男女,花蓮縣,口腔、口咽及下咽,4.42,14,51.5,52,3.92
1981,不分男女,台東縣,口腔、口咽及下咽,2.03,5,54.4,53,1.78
1981,不分男女,連江縣,口腔、口咽及下咽,22.99,1,45,45,12.2
1982,不分男女,台閩地區,口腔、口咽及下咽,3.31,445,55.47,56,2.4
1982,不分男女,台北市,口腔、口咽及下咽,1.3,21,61.38,60,0.9
1982,不分男女,台中市,口腔、口咽及下咽,3.03,37,51.32,52,2.19
1982,不分男女,台南市,口腔、口咽及下咽,2.36,29,54.76,58,1.83
1982,不分男女,高雄市,口腔、口咽及下咽,1.8,30,48.03,50,1.31
1982,不分男女,基隆市,口腔、口咽及下咽,0.47,1,72,72,0.29
1982,不分男女,新竹市,口腔、口咽及下咽,0.42,1,52,52,0.35
1982,不分男女,新北市,口腔、口咽及下咽,3.37,52,54.58,58,2.13
1982,不分男女,桃園市,口腔、口咽及下咽,1.06,8,59.88,63,0.71
1982,不分男女,新竹縣,口腔、口咽及下咽,3.03,9,52.33,53,2.47
1982,不分男女,宜蘭縣,口腔、口咽及下咽,4.7,16,57.81,59,3.58
1982,不分男女,苗栗縣,口腔、口咽及下咽,2.01,8,67.75,66,1.46
1982,不分男女,彰化縣,口腔、口咽及下咽,5.76,52,52.81,51.5,4.36
1982,不分男女,南投縣,口腔、口咽及下咽,4.1,17,59,58,3.21
1982,不分男女,雲林縣,口腔、口咽及下咽,4.38,28,54.61,53,3.51
1982,不分男女,嘉義縣,口腔、口咽及下咽,4.33,20,58.75,61,3.48
1982,不分男女,屏東縣,口腔、口咽及下咽,2.15,14,57.93,62,1.56
1982,不分男女,花蓮縣,口腔、口咽及下咽,3.83,12,54.25,55,3.33
1982,不分男女,台東縣,口腔、口咽及下咽,3.66,8,63.63,61.5,2.84
1982,不分男女,金門縣,口腔、口咽及下咽,2.88,1,69,69,1.99
1983,不分男女,台閩地區,口腔、口咽及下咽,4,552,55.78,57,2.94
1983,不分男女,台北市,口腔、口咽及下咽,3.7,67,53.96,53,2.81
1983,不分男女,台中市,口腔、口咽及下咽,4.49,54,55.07,55,3.12
1983,不分男女,台南市,口腔、口咽及下咽,2.69,35,54.26,57,2.18
1983,不分男女,高雄市,口腔、口咽及下咽,2.29,40,50.85,50.5,1.72
1983,不分男女,基隆市,口腔、口咽及下咽,4.16,11,56.18,57,3.13
1983,不分男女,新竹市,口腔、口咽及下咽,1.88,4,58,59.5,1.37
1983,不分男女,嘉義市,口腔、口咽及下咽,7.15,14,54.57,58.5,5.54
1983,不分男女,新北市,口腔、口咽及下咽,4.16,67,55.27,57,2.66
1983,不分男女,桃園市,口腔、口咽及下咽,3.51,24,59.46,58.5,2.07
1983,不分男女,新竹縣,口腔、口咽及下咽,1.51,4,63,68,1.09
1983,不分男女,宜蘭縣,口腔、口咽及下咽,1.05,4,53,54,0.89
1983,不分男女,苗栗縣,口腔、口咽及下咽,2,9,57.44,62,1.64
1983,不分男女,彰化縣,口腔、口咽及下咽,5.81,54,55.52,56.5,4.49
1983,不分男女,南投縣,口腔、口咽及下咽,4.73,19,58.89,58,3.57
1983,不分男女,雲林縣,口腔、口咽及下咽,6.05,38,59.76,58.5,4.77
1983,不分男女,嘉義縣,口腔、口咽及下咽,2.38,12,44.42,47,2.09
1983,不分男女,屏東縣,口腔、口咽及下咽,3.11,22,58.86,58,2.44
1983,不分男女,花蓮縣,口腔、口咽及下咽,5.3,16,61.25,62.5,4.43
1983,不分男女,台東縣,口腔、口咽及下咽,5.59,13,61.69,68,4.65
1984,不分男女,台閩地區,口腔、口咽及下咽,4.27,620,53.92,54.5,3.25
1984,不分男女,台北市,口腔、口咽及下咽,4.05,79,52.73,54,3.22
1984,不分男女,台中市,口腔、口咽及下咽,5.89,71,54.41,55,4
1984,不分男女,台南市,口腔、口咽及下咽,1.96,27,53.96,58,1.66
1984,不分男女,高雄市,口腔、口咽及下咽,3.67,65,50.02,51,2.76
1984,不分男女,基隆市,口腔、口咽及下咽,2.58,7,53,51,1.98
1984,不分男女,新竹市,口腔、口咽及下咽,6.04,14,53,53.5,4.71
1984,不分男女,嘉義市,口腔、口咽及下咽,6.5,13,53.77,53,5.14
1984,不分男女,新北市,口腔、口咽及下咽,3.79,65,55.15,55,2.51
1984,不分男女,桃園市,口腔、口咽及下咽,3.36,29,55.17,58,2.44
1984,不分男女,新竹縣,口腔、口咽及下咽,1.3,4,55.25,55,1.09
1984,不分男女,宜蘭縣,口腔、口咽及下咽,1.12,4,65.75,64,0.89
1984,不分男女,苗栗縣,口腔、口咽及下咽,2.66,12,59.5,58.5,2.18
1984,不分男女,彰化縣,口腔、口咽及下咽,6.03,55,52.85,53,4.52
1984,不分男女,南投縣,口腔、口咽及下咽,4.93,21,55.81,56,3.93
1984,不分男女,雲林縣,口腔、口咽及下咽,6.04,40,55.48,56.5,5.03
1984,不分男女,嘉義縣,口腔、口咽及下咽,4.66,24,55.33,55,4.19
1984,不分男女,屏東縣,口腔、口咽及下咽,2.43,17,53.06,54,1.88
1984,不分男女,花蓮縣,口腔、口咽及下咽,5.64,17,57.47,58,4.7
1984,不分男女,台東縣,口腔、口咽及下咽,6.53,14,47.79,49.5,5.05
1985,不分男女,台閩地區,口腔、口咽及下咽,4.72,687,55.11,55,3.56
1985,不分男女,台北市,口腔、口咽及下咽,3.11,60,53.67,50,2.39
1985,不分男女,台中市,口腔、口咽及下咽,5.27,68,54.99,55.5,3.74
1985,不分男女,台南市,口腔、口咽及下咽,3.15,41,55.98,56,2.5
1985,不分男女,高雄市,口腔、口咽及下咽,4.94,84,52.36,53,3.53
1985,不分男女,基隆市,口腔、口咽及下咽,2.25,7,59.14,59,1.99
1985,不分男女,新竹市,口腔、口咽及下咽,1.37,4,65,65.5,1.32
1985,不分男女,嘉義市,口腔、口咽及下咽,8.05,16,56.44,56,6.31
1985,不分男女,新北市,口腔、口咽及下咽,4.06,71,55.34,55,2.67
1985,不分男女,桃園市,口腔、口咽及下咽,3.43,29,55.62,54,2.39
1985,不分男女,新竹縣,口腔、口咽及下咽,1.13,3,59.67,66,0.82
1985,不分男女,宜蘭縣,口腔、口咽及下咽,2.74,9,61.44,62,2
1985,不分男女,苗栗縣,口腔、口咽及下咽,3.23,14,55,56,2.54
1985,不分男女,彰化縣,口腔、口咽及下咽,8.01,75,53.72,54,6.13
1985,不分男女,南投縣,口腔、口咽及下咽,5.26,23,52.65,48,4.29
1985,不分男女,雲林縣,口腔、口咽及下咽,7.5,47,58.17,57,5.94
1985,不分男女,嘉義縣,口腔、口咽及下咽,3.54,17,57,56,2.98
1985,不分男女,屏東縣,口腔、口咽及下咽,4.04,31,53.35,56,3.44
1985,不分男女,澎湖縣,口腔、口咽及下咽,0.96,1,62,62,0.98
1985,不分男女,花蓮縣,口腔、口咽及下咽,4.4,14,56.43,58.5,3.87
1985,不分男女,台東縣,口腔、口咽及下咽,6.64,15,57.2,53,5.43
1985,不分男女,金門縣,口腔、口咽及下咽,7.7,3,55.67,53,6.14
1986,不分男女,台閩地區,口腔、口咽及下咽,4.39,663,55.28,55,3.4
1986,不分男女,台北市,口腔、口咽及下咽,3.53,70,58.03,60,2.72
1986,不分男女,台中市,口腔、口咽及下咽,5.02,67,54.45,54,3.61
1986,不分男女,台南市,口腔、口咽及下咽,2.53,35,58.2,59,2.12
1986,不分男女,高雄市,口腔、口咽及下咽,5.52,100,51.74,50.5,4.17
1986,不分男女,基隆市,口腔、口咽及下咽,4.68,13,57.23,57,3.72
1986,不分男女,新竹市,口腔、口咽及下咽,4.39,10,51.3,44.5,3.27
1986,不分男女,嘉義市,口腔、口咽及下咽,4.09,9,52.78,53,3.54
1986,不分男女,新北市,口腔、口咽及下咽,4.18,76,54.99,56,2.79
1986,不分男女,桃園市,口腔、口咽及下咽,2.47,24,51.79,54.5,1.95
1986,不分男女,新竹縣,口腔、口咽及下咽,1.26,4,43.5,43,1.09
1986,不分男女,宜蘭縣,口腔、口咽及下咽,3.87,14,61,60,3.12
1986,不分男女,苗栗縣,口腔、口咽及下咽,1.85,9,57,58,1.64
1986,不分男女,彰化縣,口腔、口咽及下咽,8.53,83,55.86,54,6.77
1986,不分男女,南投縣,口腔、口咽及下咽,5.99,26,54.15,53,4.86
1986,不分男女,雲林縣,口腔、口咽及下咽,6.72,46,54.63,54.5,5.87
1986,不分男女,嘉義縣,口腔、口咽及下咽,3.74,19,52.21,54,3.37
1986,不分男女,屏東縣,口腔、口咽及下咽,2.68,20,55.75,56.5,2.23
1986,不分男女,澎湖縣,口腔、口咽及下咽,1.98,2,64.5,64.5,1.98
1986,不分男女,花蓮縣,口腔、口咽及下咽,3.84,12,65.83,65,3.34
1986,不分男女,台東縣,口腔、口咽及下咽,8.58,20,59.05,62.5,7.34
1986,不分男女,金門縣,口腔、口咽及下咽,2.15,1,76,76,2.09
1987,不分男女,台閩地區,口腔、口咽及下咽,5.31,837,53.98,55,4.24
1987,不分男女,台北市,口腔、口咽及下咽,3.93,88,53.17,55,3.34
1987,不分男女,台中市,口腔、口咽及下咽,6.4,88,54.44,55,4.64
1987,不分男女,台南市,口腔、口咽及下咽,3.62,52,50.52,51.5,3.13
1987,不分男女,高雄市,口腔、口咽及下咽,6.2,114,51.96,51,4.7
1987,不分男女,基隆市,口腔、口咽及下咽,4.52,13,53,55,3.73
1987,不分男女,新竹市,口腔、口咽及下咽,3.83,11,43,43,3.55
1987,不分男女,嘉義市,口腔、口咽及下咽,8.04,17,53.53,53,6.67
1987,不分男女,新北市,口腔、口咽及下咽,5.27,102,54.06,54.5,3.64
1987,不分男女,桃園市,口腔、口咽及下咽,2.39,24,52.5,56.5,1.91
1987,不分男女,新竹縣,口腔、口咽及下咽,2.81,8,56.88,56.5,2.18
1987,不分男女,宜蘭縣,口腔、口咽及下咽,1.54,6,62.83,66,1.34
1987,不分男女,苗栗縣,口腔、口咽及下咽,4.18,20,54.65,60,3.66
1987,不分男女,彰化縣,口腔、口咽及下咽,8.57,84,54.61,54,6.83
1987,不分男女,南投縣,口腔、口咽及下咽,4.88,22,58.18,58.5,4.12
1987,不分男女,雲林縣,口腔、口咽及下咽,9.07,63,54.38,54,8.12
1987,不分男女,嘉義縣,口腔、口咽及下咽,7.19,37,56.89,57,6.62
1987,不分男女,屏東縣,口腔、口咽及下咽,4.86,38,55.37,58.5,4.25
1987,不分男女,澎湖縣,口腔、口咽及下咽,2.29,2,41,41,2.02
1987,不分男女,花蓮縣,口腔、口咽及下咽,8.39,27,55.04,53,7.6
1987,不分男女,台東縣,口腔、口咽及下咽,9.44,19,62.47,60,7.11
1988,不分男女,台閩地區,口腔、口咽及下咽,5.35,878,53.5,54,4.4
1988,不分男女,台北市,口腔、口咽及下咽,5.53,123,55.72,57,4.59
1988,不分男女,台中市,口腔、口咽及下咽,5.35,79,53.01,53,4.07
1988,不分男女,台南市,口腔、口咽及下咽,2.9,45,51.16,53,2.68
1988,不分男女,高雄市,口腔、口咽及下咽,6.01,121,50.12,50,4.92
1988,不分男女,基隆市,口腔、口咽及下咽,6.54,17,58.24,52,4.88
1988,不分男女,新竹市,口腔、口咽及下咽,1.34,4,47,46,1.27
1988,不分男女,嘉義市,口腔、口咽及下咽,8.56,19,52.26,51,7.42
1988,不分男女,新北市,口腔、口咽及下咽,5.6,120,51.94,53,4.15
1988,不分男女,桃園市,口腔、口咽及下咽,3.29,34,56.24,59.5,2.64
1988,不分男女,新竹縣,口腔、口咽及下咽,2.2,7,56.71,67,1.9
1988,不分男女,宜蘭縣,口腔、口咽及下咽,4.32,18,54.44,56,4.02
1988,不分男女,苗栗縣,口腔、口咽及下咽,4.04,20,54.15,60,3.66
1988,不分男女,彰化縣,口腔、口咽及下咽,7.15,73,55.25,54,5.92
1988,不分男女,南投縣,口腔、口咽及下咽,3.2,15,57.2,58,2.81
1988,不分男女,雲林縣,口腔、口咽及下咽,7.66,53,51.15,50,6.92
1988,不分男女,嘉義縣,口腔、口咽及下咽,6.12,33,57.45,59,5.95
1988,不分男女,屏東縣,口腔、口咽及下咽,4.79,37,51.11,52,4.15
1988,不分男女,澎湖縣,口腔、口咽及下咽,7.82,6,51.83,51.5,6.14
1988,不分男女,花蓮縣,口腔、口咽及下咽,7.07,22,53.82,54,6.24
1988,不分男女,台東縣,口腔、口咽及下咽,11.91,30,58.83,60,11.54
1989,不分男女,台閩地區,口腔、口咽及下咽,6.12,1018,55.26,56,5.05
1989,不分男女,台北市,口腔、口咽及下咽,4.7,104,56.21,56,3.85
1989,不分男女,台中市,口腔、口咽及下咽,5.58,83,55.1,55,4.2
1989,不分男女,台南市,口腔、口咽及下咽,4.5,66,56.74,58.5,3.9
1989,不分男女,高雄市,口腔、口咽及下咽,7.88,158,51.73,51,6.37
1989,不分男女,基隆市,口腔、口咽及下咽,4.4,13,56,56,3.71
1989,不分男女,新竹市,口腔、口咽及下咽,2.17,6,53.83,53,1.88
1989,不分男女,嘉義市,口腔、口咽及下咽,6.14,14,57.64,57,5.47
1989,不分男女,新北市,口腔、口咽及下咽,6.1,131,54.02,56,4.41
1989,不分男女,桃園市,口腔、口咽及下咽,3.86,40,55.4,59.5,3.03
1989,不分男女,新竹縣,口腔、口咽及下咽,2.53,8,57.63,53.5,2.16
1989,不分男女,宜蘭縣,口腔、口咽及下咽,1.72,7,65.29,65,1.56
1989,不分男女,苗栗縣,口腔、口咽及下咽,3.48,18,58.83,60.5,3.3
1989,不分男女,彰化縣,口腔、口咽及下咽,10.49,112,52.55,53,9.05
1989,不分男女,南投縣,口腔、口咽及下咽,3.6,17,54.29,56,3.18
1989,不分男女,雲林縣,口腔、口咽及下咽,11.87,86,58.23,58,11.36
1989,不分男女,嘉義縣,口腔、口咽及下咽,8.72,46,58.13,56.5,8.33
1989,不分男女,屏東縣,口腔、口咽及下咽,4.29,34,55.65,54.5,3.82
1989,不分男女,澎湖縣,口腔、口咽及下咽,1.77,2,60,60,2.08
1989,不分男女,花蓮縣,口腔、口咽及下咽,11.96,40,58.83,61,11.41
1989,不分男女,台東縣,口腔、口咽及下咽,11.99,30,59,64,11.63
1989,不分男女,金門縣,口腔、口咽及下咽,2.65,1,33,33,2.31
1990,不分男女,台閩地區,口腔、口咽及下咽,5.78,989,54.62,55,4.85
1990,不分男女,台北市,口腔、口咽及下咽,5.68,131,55.85,57,4.82
1990,不分男女,台中市,口腔、口咽及下咽,5.6,86,53.29,54.5,4.26
1990,不分男女,台南市,口腔、口咽及下咽,3.11,49,51.63,52,2.87
1990,不分男女,高雄市,口腔、口咽及下咽,6.02,123,52.63,52,4.91
1990,不分男女,基隆市,口腔、口咽及下咽,2.73,8,52.25,49.5,2.27
1990,不分男女,新竹市,口腔、口咽及下咽,6.27,17,56.59,58,5.24
1990,不分男女,嘉義市,口腔、口咽及下咽,5.79,13,55.15,55,5.05
1990,不分男女,新北市,口腔、口咽及下咽,5.65,126,54.11,54.5,4.13
1990,不分男女,桃園市,口腔、口咽及下咽,3.95,42,53.24,53,3.1
1990,不分男女,新竹縣,口腔、口咽及下咽,4.27,14,55.07,55,3.74
1990,不分男女,宜蘭縣,口腔、口咽及下咽,4.85,20,62.55,65.5,4.44
1990,不分男女,苗栗縣,口腔、口咽及下咽,4.77,24,54.58,54,4.38
1990,不分男女,彰化縣,口腔、口咽及下咽,7.56,80,53.11,53.5,6.42
1990,不分男女,南投縣,口腔、口咽及下咽,6.21,29,50.93,50,5.41
1990,不分男女,雲林縣,口腔、口咽及下咽,10.02,71,57.79,57,9.42
1990,不分男女,嘉義縣,口腔、口咽及下咽,6.94,38,53.21,55,6.88
1990,不分男女,屏東縣,口腔、口咽及下咽,5.52,45,56.2,58,5.04
1990,不分男女,澎湖縣,口腔、口咽及下咽,4.01,3,49,45,3.13
1990,不分男女,花蓮縣,口腔、口咽及下咽,10.71,35,59.46,59,9.94
1990,不分男女,台東縣,口腔、口咽及下咽,12.62,31,58.27,58,12.07
1990,不分男女,金門縣,口腔、口咽及下咽,4.56,2,62,62,4.68
1991,不分男女,台閩地區,口腔、口咽及下咽,7.05,1247,54.04,54,6.05
1991,不分男女,台北市,口腔、口咽及下咽,5.84,140,54.34,53,5.15
1991,不分男女,台中市,口腔、口咽及下咽,6.49,105,54.27,54,5.09
1991,不分男女,台南市,口腔、口咽及下咽,3.92,61,51.28,50,3.54
1991,不分男女,高雄市,口腔、口咽及下咽,8.7,189,50.86,50,7.47
1991,不分男女,基隆市,口腔、口咽及下咽,1.93,7,47.57,43,1.97
1991,不分男女,新竹市,口腔、口咽及下咽,6.28,19,56.63,59,5.78
1991,不分男女,嘉義市,口腔、口咽及下咽,9.06,21,55.29,59,8.12
1991,不分男女,新北市,口腔、口咽及下咽,7.07,167,53.25,53,5.37
1991,不分男女,桃園市,口腔、口咽及下咽,4.55,51,54.41,56,3.68
1991,不分男女,新竹縣,口腔、口咽及下咽,5.26,17,52.29,54,4.48
1991,不分男女,宜蘭縣,口腔、口咽及下咽,4.59,19,57.26,57,4.19
1991,不分男女,苗栗縣,口腔、口咽及下咽,4.51,24,52.71,51.5,4.36
1991,不分男女,彰化縣,口腔、口咽及下咽,10.18,106,54.43,54,8.45
1991,不分男女,南投縣,口腔、口咽及下咽,10.2,50,55.22,53.5,9.27
1991,不分男女,雲林縣,口腔、口咽及下咽,12.65,94,57.04,57.5,12.47
1991,不分男女,嘉義縣,口腔、口咽及下咽,8.54,46,57.8,57,8.29
1991,不分男女,屏東縣,口腔、口咽及下咽,6.75,57,54.25,56,6.35
1991,不分男女,澎湖縣,口腔、口咽及下咽,1.31,1,54,54,1.05
1991,不分男女,花蓮縣,口腔、口咽及下咽,10.69,35,54.74,52,9.9
1991,不分男女,台東縣,口腔、口咽及下咽,13.67,34,58.44,59,13.29
1991,不分男女,金門縣,口腔、口咽及下咽,4.74,2,60.5,60.5,4.6
1992,不分男女,台閩地區,口腔、口咽及下咽,8.09,1485,53.28,53,7.14
1992,不分男女,台北市,口腔、口咽及下咽,7.02,177,56.56,58,6.57
1992,不分男女,台中市,口腔、口咽及下咽,8.08,140,52.23,50.5,6.63
1992,不分男女,台南市,口腔、口咽及下咽,5.36,84,49.74,48,4.82
1992,不分男女,高雄市,口腔、口咽及下咽,9.39,207,50.73,50,8.11
1992,不分男女,基隆市,口腔、口咽及下咽,8.46,28,53.86,55,7.79
1992,不分男女,新竹市,口腔、口咽及下咽,6.56,20,53.65,59,6.01
1992,不分男女,嘉義市,口腔、口咽及下咽,9.73,24,53.83,58,9.28
1992,不分男女,新北市,口腔、口咽及下咽,8.07,196,52.49,52,6.2
1992,不分男女,桃園市,口腔、口咽及下咽,5.21,55,53.82,52,3.89
1992,不分男女,新竹縣,口腔、口咽及下咽,4.27,15,56.33,57,3.89
1992,不分男女,宜蘭縣,口腔、口咽及下咽,2.9,13,53.54,60,2.85
1992,不分男女,苗栗縣,口腔、口咽及下咽,5.18,25,53.6,51,4.52
1992,不分男女,彰化縣,口腔、口咽及下咽,14.98,170,53.09,54,13.44
1992,不分男女,南投縣,口腔、口咽及下咽,8.44,44,55.66,55.5,8.11
1992,不分男女,雲林縣,口腔、口咽及下咽,13.04,99,55.23,56,13.13
1992,不分男女,嘉義縣,口腔、口咽及下咽,8.71,48,51.33,52.5,8.62
1992,不分男女,屏東縣,口腔、口咽及下咽,8.45,75,52.83,54,8.32
1992,不分男女,澎湖縣,口腔、口咽及下咽,4.98,5,63.6,62,5.26
1992,不分男女,花蓮縣,口腔、口咽及下咽,8.5,31,57.19,60,8.72
1992,不分男女,台東縣,口腔、口咽及下咽,11.84,29,57.24,58,11.36
1993,不分男女,台閩地區,口腔、口咽及下咽,8.36,1570,53.76,54,7.48
1993,不分男女,台北市,口腔、口咽及下咽,7.16,178,54.33,53,6.71
1993,不分男女,台中市,口腔、口咽及下咽,8.31,149,52.51,52,6.87
1993,不分男女,台南市,口腔、口咽及下咽,5.59,94,52.76,54,5.34
1993,不分男女,高雄市,口腔、口咽及下咽,9.91,231,50.41,50,8.98
1993,不分男女,基隆市,口腔、口咽及下咽,4.79,15,52.6,47,4.13
1993,不分男女,新竹市,口腔、口咽及下咽,8.22,23,54.74,55,6.86
1993,不分男女,嘉義市,口腔、口咽及下咽,11.48,27,52.89,52,10.44
1993,不分男女,新北市,口腔、口咽及下咽,7.81,195,55.05,55,6.05
1993,不分男女,桃園市,口腔、口咽及下咽,4.19,48,55.85,55,3.31
1993,不分男女,新竹縣,口腔、口咽及下咽,3.19,12,59.75,61,3.05
1993,不分男女,宜蘭縣,口腔、口咽及下咽,5.05,21,57.14,56,4.54
1993,不分男女,苗栗縣,口腔、口咽及下咽,5.19,25,47.24,49,4.49
1993,不分男女,彰化縣,口腔、口咽及下咽,14.52,166,54.14,54,13.03
1993,不分男女,南投縣,口腔、口咽及下咽,9.33,49,53.92,55,9
1993,不分男女,雲林縣,口腔、口咽及下咽,11.97,94,55.94,56,12.44
1993,不分男女,嘉義縣,口腔、口咽及下咽,15.22,88,55.25,56.5,15.63
1993,不分男女,屏東縣,口腔、口咽及下咽,7.49,65,54.6,54,7.17
1993,不分男女,澎湖縣,口腔、口咽及下咽,5.62,6,44.83,37.5,6.3
1993,不分男女,花蓮縣,口腔、口咽及下咽,13.08,44,57.14,55,12.31
1993,不分男女,台東縣,口腔、口咽及下咽,15.56,39,55.49,57,15.26
1993,不分男女,金門縣,口腔、口咽及下咽,1.79,1,64,64,2.18
1994,不分男女,台閩地區,口腔、口咽及下咽,9,1751,53.35,53,8.27
1994,不分男女,台北市,口腔、口咽及下咽,6.48,169,53.85,54,6.37
1994,不分男女,台中市,口腔、口咽及下咽,9.06,165,53.04,54,7.46
1994,不分男女,台南市,口腔、口咽及下咽,6.91,120,52.43,51,6.77
1994,不分男女,高雄市,口腔、口咽及下咽,10.26,239,51.54,50,9.21
1994,不分男女,基隆市,口腔、口咽及下咽,4.36,14,55.5,48.5,3.84
1994,不分男女,新竹市,口腔、口咽及下咽,5.23,16,59.19,59.5,4.73
1994,不分男女,嘉義市,口腔、口咽及下咽,11.72,29,52.45,52,11.14
1994,不分男女,新北市,口腔、口咽及下咽,8.57,231,51.68,50,7.08
1994,不分男女,桃園市,口腔、口咽及下咽,5.97,74,53.23,51.5,4.99
1994,不分男女,新竹縣,口腔、口咽及下咽,3.48,13,55,55,3.24
1994,不分男女,宜蘭縣,口腔、口咽及下咽,4.04,19,62.32,62,4.09
1994,不分男女,苗栗縣,口腔、口咽及下咽,5.62,31,55.06,53,5.55
1994,不分男女,彰化縣,口腔、口咽及下咽,17.04,201,53.36,53,15.69
